CO_UF;UF;SIG_UF;CO_MUNICIPIO;MUNICIPIO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;POPULACAO_ESTIMADA;N_MATRICULA_MUN;N_MATRICULA_ENT;N_MATRICULA_INTEGRAL_ENT;N_EJA_MUN;N_EJA_ENT;PROPORCAO_MATRICULA_POPULACAO_MUN;PROPORCAO_EJA_MATRICULA_MUN;PROPORCAO_ENT_MATRICULA;PROPORCAL_INTEGRAL_ENT
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53005848;CEE 01 DE SOBRADINHO;3015268;720439;180;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000249847662328108;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53001958;COL CNEC DE BRASILIA;3015268;720439;127;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000176281406198165;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52091317;ESCOLA PROGRESSIVO;1516113;279830;298;NULL;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.00106493228031305;NULL
51;Mato Grosso;MT;5108402;Várzea Grande;5;5104;51017;51065401;CMEI JOANITA BENEDITA TEIXEIRA COSTA CAMPOS;284971;72805;199;0;69240;NULL;2.5548213677883E+16;9.5103358285832E+15;0.00273332875489321;0
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53012470;CR NUCLEO BANDEIRANTE;3015268;720439;105;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.000145744469691396;NULL
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51039826;INSTITUTO EDUCACIONAL ICE - EIRELI -ME;612547;163720;576;NULL;147190;NULL;2.67277449730388E+16;8.9903493769851E+15;0.00351820180796482;NULL
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51065460;MT CURSOS;612547;163720;381;NULL;147190;381;2.67277449730388E+16;8.9903493769851E+15;0.00232714390422673;NULL
50;Mato Grosso do Sul;MS;5007208;Rio Brilhante;5;5004;50010;50044001;ESCOLA DE EDUCACAO CATIVANTE;37514;10479;376;NULL;4410;NULL;2.79335714666525E+15;4.20841683366734E+15;0.0358812863822884;NULL
52;Goias;GO;5218805;Rio Verde;5;5205;52013;52054721;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARIA RIBEIRO COSTA;235647;48352;265;0;24520;NULL;2.05188268893727E+16;507114493712773;0.00548064195896757;0
52;Goias;GO;5221403;Trindade;5;5203;52010;52096750;ESCOLA MENTES BRILHANTES;127599;29506;80;NULL;13690;NULL;2.31240056740257E+16;4.63973429133058E+16;0.00271131295329763;NULL
